Sample	Gene	SIFT	Polyphen	MutAssessor	EGFR-R-C	EGFR_pY1068-R-V	EGFR_pY1173-R-C	EGFR_pY992-R-V	NMC	ActiveDriver	CLUMPS	OncodriveCLUST	iSIMPRe	SpacePAC	e-Driver	e-Driver3D	Hotspot	iPAC	LowMACA	GraphPAC
TCGA-06-0747-01	2	1.0	0.989		NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-14-1034-02	2	1.0	0.998	3.635	NA	NA	NA	NA	2	1	2	2	1	1	1	1	1	2	1	2
TCGA-19-2631-01	0	NA	NA	NA	0.925241973	-1.631963235	-1.090206494	-2.697528383	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1790-01	2	0.99	0.171	1.11	-1.182579941	-1.715740068	-1.079220308	-3.633681821	1	1	1	1	1	1	1	1	1	1	1	1
TCGA-06-0145-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-6695-01	0	NA	NA	NA	-1.733321875	-2.306848135	-1.561592236	-3.95245069	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5208-01	0	NA	NA	NA	-0.271404918	-1.616481056	-1.140440309	-3.156165273	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0881-01	2	1.0	0.989	3.06	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-06-6694-01	0	NA	NA	NA	-2.304617049	-3.197627527	-1.610977191	-4.427481285	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0749-01	2	1.0	0.976	2.71	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-06-0139-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0132-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-3648	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1827	2	0.30000000000000004	0.913	1.995	NA	NA	NA	NA	2	1	1	1	1	1	1	1	1	2	1	2
TCGA-26-1799	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1390-01	0	NA	NA	NA	-2.593014102	-3.159060774	-1.818203218	-4.102464623	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-4931-01	2	0.99	0.952	3.545	0.933287134	0.830762388	0.746936094	-2.186533904	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-06-0875-01	0	NA	NA	NA	-2.730507296	-2.72928338	-1.680233751	-3.58108095	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1092	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0619-01	2	0.99	0.952	3.545	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-06-0209-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0826	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-5959-01	0	NA	NA	NA	0.646885133	1.53673964	1.13143041	-2.34885646	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-1980-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0188-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-16-0849	2	0.99	0.952	3.545	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-06-0213-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-6391-01	0	NA	NA	NA	-2.529183937	-3.318054434	-1.641237379	-3.613870309	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-6450-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-1976	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-02-2483-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5418-01	0	NA	NA	NA	-1.098592334	-1.745991407	-1.220772708	-3.912990325	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-5954-01	0	NA	NA	NA	-2.25046978	-1.865249687	-1.435743576	-3.935655541	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-2501-01	0	NA	NA	NA	-0.596184002	-1.187756689	-0.831007346	-3.079460488	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1795	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2567-01	2	1.0	0.819	2.145	-0.501635032	-0.914126918	-0.709985247	-3.541978728	2	1	1	2	2	1	1	1	1	2	1	2
TCGA-06-0646-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-41-2571-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0750-01	2	1.0	0.974		NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-19-2629-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0744-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-1745	2	1.0	0.579	2.765	NA	NA	NA	NA	1	2	1	1	1	1	1	1	1	1	1	1
TCGA-87-5896-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0650-01	2	1.0	0.494	2.175	-1.486134413	-2.541474	-1.304512402	-3.929919606	1	2	1	2	1	1	1	1	1	1	1	1
TCGA-06-0125-02	2	0.99	0.952	3.545	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-06-1084	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-74-6584-01	0	NA	NA	NA	-1.260523692	-2.284074199	-1.396193729	-3.847748859	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6192-01	0	NA	NA	NA	-2.517415371	-3.177891553	-1.696966517	-4.281749663	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6285-01	0	NA	NA	NA	-0.155217733000000	-3.272230333	-1.739630212	-3.340311409	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1789	2	1.0	0.648	1.095	NA	NA	NA	NA	2	1	1	1	1	1	2	1	1	2	1	2
TCGA-27-2527-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-2621	2	1.0	1.0	4.085	NA	NA	NA	NA	1	1	1	2	1	1	1	1	1	2	1	1
TCGA-32-1970-01	2	1.0	0.989	3.06	2.03512396	0.829809936	0.893007651	-1.345272284	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-06-0178-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-1838-01	2	1.0	0.993	1.295	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-27-2524-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0616-01	2	0.99	0.952	3.545	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-76-6660-01	0	NA	NA	NA	-1.896448462	-2.573761901	-1.42668445	-3.104819652	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0645-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-1832-01	0	NA	NA	NA	-1.231387457	-2.476587436	-1.466465948	-3.523120059	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5207-01	2	1.0	0.976	2.71	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-06-0126-01	0	NA	NA	NA	0.726570703	0.731758968	0.452918388	-2.348880015	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2569-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0877-01	0	NA	NA	NA	0.836725401	1.99671548	1.600474779	-1.81529712	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6282-01	2	1.0	0.999	3.775	0.787945349	1.308417859	0.700010363	-1.697078696	2	1	1	1	1	1	1	1	1	2	1	2
TCGA-32-2638-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-3652-01	2	0.95	0.943	3.33	1.296279589	2.176827338	2.274520423	-1.555831953	2	1	2	2	1	1	2	1	1	2	1	2
TCGA-06-0882-01	0	NA	NA	NA	-1.564705594	-3.031254519	-1.514736841	-3.581297857	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0822	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0154-01	2	1.0	1.0	3.325	0.150398475	0.536541614	0.442879396	-2.614910734	2	2	1	2	1	1	2	1	1	2	1	2
TCGA-06-0158-01	2	1.0	1.0	2.965	NA	NA	NA	NA	2	1	1	2	1	2	1	1	2	2	2	2
TCGA-15-1446	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0122-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-26-1442-01	0	NA	NA	NA	-1.58072053	-2.665596526	-1.454120072	-3.086780162	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-1802	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0879-01	0	NA	NA	NA	-1.368688896	-2.333279059	-1.475492867	-4.072202984	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-4208-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1455	2	1.0	0.997	3.575	NA	NA	NA	NA	2	1	1	2	1	1	1	1	1	2	1	2
TCGA-41-6646-01	0	NA	NA	NA	-1.465712691	-2.780103282	-1.38308208	-3.717256563	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-3651	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-4929-01	0	NA	NA	NA	-0.936776365	-1.844841266	-1.243971254	-3.387168578	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0210-02	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0743-01	2	0.94	0.012	1.22	NA	NA	NA	NA	2	1	1	1	1	1	1	1	1	2	1	2
TCGA-06-0221-02	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-1751	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-2521-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1825-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-4157-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1089	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1600	2	0.99	0.986	3.86	NA	NA	NA	NA	1	2	1	2	1	1	1	1	1	1	1	1
TCGA-06-0214-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-41-3392-01	0	NA	NA	NA	2.796765414	1.999927333	2.430981909	-0.884363483	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0865	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0142-01	2	1.0	0.989	3.06	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-19-5952-01	0	NA	NA	NA	1.458526572	-0.300403429	-0.197078193	-2.291914935	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0241-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-26-6174-01	0	NA	NA	NA	-2.224717035	-3.20264345	-1.564855791	-4.071027353	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6662-01	0	NA	NA	NA	-1.472020818	-1.979324869	-1.290071649	-3.591416867	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6280-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-4719-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-74-6573-01	0	NA	NA	NA	2.057575611	-0.552053398	0.095451954	-2.011947835	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-5955-01	0	NA	NA	NA	-2.316816088	-3.553157861	-1.712911832	-4.35001751	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-1982-01	2	0.99	0.952	3.545	0.286055479	1.638409602	0.860664438	-1.894382774	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-41-2573-01	0	NA	NA	NA	-1.996284883	-3.019377243	-1.555764453	-3.803204128	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0216-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2565-01	2	1.0	1.0	2.965	1.808703016	2.298411457	1.786092158	-1.50856611	2	1	1	2	1	2	1	1	2	2	2	2
TCGA-19-2623-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5856-01	2	1.0	0.989	3.06	1.863521826	2.023074781	2.399614103	-1.118046803	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-19-1386	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1385	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0745-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-6700-01	2	0.9299999999999999	0.606	2.755	1.142361929	-0.565445775	-0.00107109000000005	-2.57470683	1	2	1	1	1	1	1	1	1	1	1	1
TCGA-27-1830-01	0	NA	NA	NA	-1.835596299	-1.737517761	-1.305640127	-3.758776716	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5211-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1823-01	2	1.0	0.976	2.71	1.412097421	0.968164872	1.100847875	-1.974004237	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-26-5133-01	0	NA	NA	NA	-1.728500064	-2.831913607	-1.648466861	-3.180175039	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-2506	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-1831-01	2	1.0	1.0	2.965	2.073280495	-0.0345299440000001	-0.0782266580000001	-1.872840264	2	1	1	2	1	2	1	1	2	2	2	2
TCGA-06-0240-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5410-01	0	NA	NA	NA	-1.746003736	-2.875675431	-1.64883495	-3.674793801	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-4928-01	0	NA	NA	NA	-1.616614094	-2.913509279	-0.732810774	-2.988253202	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-2499-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6286-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-26-5139-01	2	1.0	1.0	2.995	NA	NA	NA	NA	2	2	1	2	1	1	2	1	1	2	1	2
TCGA-12-5301-01	0	NA	NA	NA	-2.798459278	-2.879560309	-1.543236817	-3.438288388	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5414-01	0	NA	NA	NA	1.981900898	3.412642169	3.101998998	-0.106907490000000	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-16-0861-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-2518-01	0	NA	NA	NA	0.738108403	-1.087400923	-0.837985986	-2.818476765	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-1800	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0124-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1396	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1456-01	2	1.0	0.989	3.06	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-02-2466	2	1.0	0.989	3.06	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-76-4927-01	2	1.0	1.0	3.325	-0.0308354029999998	-1.943013132	-1.08228738	-3.107812364	2	2	1	2	1	1	2	1	1	2	1	2
TCGA-06-0168-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6661-01	2	0.0	0.019	2.615	NA	NA	NA	NA	2	1	1	2	1	1	2	2	1	2	1	2
TCGA-28-2514-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0140-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5415-01	0	NA	NA	NA	1.900515599	1.820831365	1.624265756	-1.207712672	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-4210-01	0	NA	NA	NA	-0.622281449	-1.940049387	-1.315043338	-3.396180093	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-4935-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-2502-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2558-01	0	NA	NA	NA	-1.58342155	-2.209437603	-1.355442285	-3.820207275	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-2491-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-1836-01	0	NA	NA	NA	0.187120952	-1.2682543	-1.05521582	-2.933971623	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0878-01	2	1.0	0.999		2.061437985	-0.874315154	-0.289897233	-2.113870207	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-19-5951-01	0	NA	NA	NA	3.485081215	-1.517015744	-1.120640174	-0.475201403	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0866	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0174-01	2	0.99	0.952	3.545	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-32-1977-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1388	2	0.98	0.983	1.795	NA	NA	NA	NA	1	1	1	1	1	1	1	2	1	2	1	1
TCGA-06-0190-02	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-41-3915-01	0	NA	NA	NA	-2.643529202	-2.850495151	-1.691291028	-4.17429569	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-41-2572-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0166-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-4925-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-41-5651-01	0	NA	NA	NA	-1.470800315	-2.493761566	-1.618189122	-3.728425783	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1037	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0670	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-2619-01	0	NA	NA	NA	-0.340889446	-2.899086333	-1.77830303	-3.465519916	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0128-01	0	NA	NA	NA	-1.018429134	-1.4040514	-1.049865177	-1.770572014	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-5960-01	0	NA	NA	NA	0.269804412	-1.161642274	-1.175253237	-3.171785954	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0195-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-6701-01	0	NA	NA	NA	-0.223014408	-2.657271515	-1.409837881	-3.132836828	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6657-01	0	NA	NA	NA	-1.771131467	-2.836837522	-1.60300047	-3.780646968	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-3650-01	2	1.0	0.989	3.06	1.451434024	3.235161696	2.978453103	-0.549637088000001	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-27-1834-01	0	NA	NA	NA	-1.276098741	-1.875509125	-1.41645631	-3.178703519	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0157-01	2	1.0	0.989	3.06	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-14-0789-01	2	1.0	0.768	4.045	NA	NA	NA	NA	1	1	2	2	1	1	1	1	1	2	1	1
TCGA-06-0151-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-74-6578-01	0	NA	NA	NA	-1.526189753	-2.418251595	-1.717600936	-4.081576817	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1791	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-3649-01	0	NA	NA	NA	-1.938269326	-1.240521191	-1.078962898	-3.268509283	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-2510-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0219-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-2620-01	2	0.99	0.952	3.545	2.310473882	-1.420572824	-0.849141546	-2.005129475	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-14-0813-01	2	1.0	0.994	2.775	-1.227250995	-2.424720097	-1.496497919	-3.673912411	2	1	1	2	2	1	1	1	1	2	1	2
TCGA-19-5958-01	0	NA	NA	NA	-0.549800277	-2.137010572	-1.426828116	-3.44853717	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-74-6577-01	0	NA	NA	NA	-2.179561662	-3.347773683	-1.741324085	-3.793861297	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2557-01	2	1.0	0.976	2.71	1.490273021	0.092906225	0.474636979	-2.183666643	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-06-6388-01	0	NA	NA	NA	-0.907177226	-2.556918714	-1.605205947	-3.829274546	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6656-01	2	1.0	1.0	3.82	1.672682441	2.577628103	1.963171137	-0.735209746	2	1	1	1	1	1	2	1	1	2	1	2
TCGA-12-0688-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
